query,misspelled_query
مجتمع پزشکی امام رضا نادری اهواز,مجنمع‌پژشکی‌امام‌رضا‌نادری‌اهواز
مجتمع غزال شیراز,مجتمع غسال شیراز
رستوران کارما فجر تبریز,رستوران کارما فجر تبریط
سراب کهمان الشتر,طراب کهمان الشتر
قهوه بسیط ارومیه, قهوه بسیزط ارومیه
رستوران فرشتگان سرخس,رستوران فرشتگان سرهس
تاسیسات قائم رشت,تاسیسات قائم رشا
شیرین عسل مرزداران,شیرینئ عسل مرزداران
باغ آکمان آمل,باغ آکما ن آمل
فروشگاه کاج نیل,فروشگاه کاجخیل
آتش نشانی فردیس,آش نشانی فژدیس
استودیو شاهکار ارومیه,استدیو شاهلار اروحیه
پارک آسیاب رشت,پارا آسیب رشت
جلوبندی سازی اصغر دهقان ویلا,جلوبندی سازی اصغر دهبان نیلا
تهیه غذای احسان ورامین,تهیه غذای احسان ورتمین
اداره گاز صومعه سرا,اآاره گاز صومعه سرنا
شماره تماس شرکت آلومرول اراک,صماره تراس شرکت آلومرول اراک
ساختمان ابن سینا دانشگاه شریف,ساختمان تابن سینا پدانشگاهشریف
خانه عمران مشهد,خانه‌عمران‌مشهد
باشگاه اوج سیرجان,باشگاخ آوج سیرجان
آموزشگاه موسیقی حقانی زرین شهر,اموزشگاه موسیثی حقانی زرینی شهر
مجتمع مدارس غیرانتفاعی پالایشگاه آبادان,مجتمع ندارس غیرانتفاعی پالایشگاه آبادان
وای سیب زمینی مشهد,وای سی ب زنینی مشهد
بانک سپه باغستان کرج,بانک سته باغستان کرج
کلانتری ۱۳۹ مرزداران,کلانتر ۱۳۹ مرزداران
مسکن مهر بافق,مصکنمه ر بافق
دانا سراب بیضا,دانا سرداب بیزا
اکبر جوجه بابل,اکبر جوجه بابف
رستوران البرز کلارآباد,رستران البرز کلارآباد
جهان فولاد بردسیر,جوان فولادو بردسیر
درمانگاه کسری اهواز,درمانگاه کیریاهواز
نمایندگی تشک رویال یزد,نمایندگی‌تشک‌رویال‌یزذ
آزمایشگاه نوین تبریز,آزمایشگاهی ن وین تبریز
بانک سپه شعبه فکوری مشهد,بانش سپه شعبهفکوری مشهد
خانه بازی کیان آباد اهواز,خانه بازی کیان آباد اهواس
دیانتی رشت کجاست,پیانتی سرشت کجاسپ
گیم استاپ رشت,گی م استا رشت
پاساژ کوثر تهران,پاسدژ کویثر تهران
صندوق قرض الحسنه امداد ولایت فردیس کرج,صندوق قذض علحسنه امداد فلایت فردیس کرج
آشکده سیکا لاهیجان,آشکد ه سیکا لاهیجان
باشگاه مرکزی مسجدسلیمان,باشگاه مرکز مسجدسلیمان
مدرسه مهدیار ورامین,مدرسه‌مهدیار‌آرامین
باشگاه بعثت گلبهار,باشگاه‌بعثت‌گلبهار
پارک آبی دزفول,پارک آبی دهفول
خیابان شهامت شیراز,خیابانش هامت شیرتز
طلافروشی پورمحمدی صومعه سرا,طلافروشی پورمحمدی صومعه یسرا
نمایندگی سایپا کاشان جاده اردستان,نماینآگی سایپا کاشان جاده اردستان
داروخانه شبانه روزی امید,دارخانه شبانه روزی امید
هايپر ميوه آجودانيه,هايپر ميوه آحودانيه
خیابان ابوذر اصفهان,حیابان‌ابوزر‌نصفهان
اداره مالیات سمنان,اداره مالیات سمخان
آموزش و پرورش آق قلا,آموزش و پرورظش آق ق لا
پوشان مهر مشهد,پخشان مهر مشهود
منطقه شهرداری پاکدشت,منزطقه‌شهریاری‌داکدشت
عطاری سالمیان مشهد,عاری سالمیان مشهد
سازمان مدیریت خراسان جنوبی,سازمان‌مدیریت‌خروسان‌جنوبی
باشگاه بانوان در اندیشه فاز یک,باشگاه بانوان در اندیشه فاز یج
خیابان ابوذر اراک,خبابان‌ابوزر‌اتراک
دوچرخه سواری پارک لاله,دوچرخه سواری پارک االه
مزون هیرا تبریز, مزون ۸هیرا تبریز
شرکت نارین سلامت گستر بهرخ,شرکت نارین سلدمت گستر بهرخ
خانه بازی رشت,خانه ژازی رشت
ترمینال علی بن حمزه شیراز,ترمینال آلی قن حمزه شیراز
مراکز واکسیناسیون مراغه,مرکز وتکسیناسیون مراغه
ساعت کاری تیپاکس مشهد,سا عتطاری تیپاکس مشهد
خیابان نقش جهان اصفهان,خیابات نقش مهاناصفهان
فست فود عالیشهر,۵ست فود عالیشهر
فلکه چه کنم,الکهچهکنم
سفره خانه بانک ملی,سفره خاره بان مای
فست فود بوعلی قم,هست فود  بوعلی قم
بانک کتاب صبا,بانک کتاب صیا
داروخانه شبانه روزی یزد بلوار جمهوری,داروخانه بانه روسزی یزد بلوار جمهوری
کله پزی فراهانی قم,کله پزی فراهانی قح
نمایندگی مدیران خودرو در فردیس کرج,نمایندگی مدیران خودرو دذ فریس کرو
نمایندگی نوشابه پپسی در شیراز,نماییندگی نو شابه پپسی در شیراز
رستوران کوروش یزد,مستوران کوروش یزد
هتل پاسارگاد انزلی,هت ل‌پاسارگاد‌انزلی
دبیرستان سما ۴ پسران (دوره اول),د بیرستان سما ۴ پسران (دوره امل
دبیرستان آرمیتا مصلی نژاد شهرری,دبیریستان آرمیتامثصلی نژاد سهرری
میدان ۹۰ نارمک,میران ۹۰ نارمیک
مسافرخانه نبوت کرمانشاه,مسافرخانه نبوترمانشاه
فروشگاه پیام کرمان,فروشگاه ایام کرمان
درمانگاه آرین آمل,درمانگاهی آرین لمل
افق کوروش جنت آباد شمالی, افق کولوش جنت آباد شمائی
بولینگ برج میلاد,بوفینگ بلج میلاد
مبل کارلو چهاردانگه,مبل کارلو چ هاردانگه
تالار صداقت فشم,تالاری صداقت فشم
باشگاه رویال تبریز,باشگاه رویای تبریز
کترینگ ضیافت نو,کترینگ یافتنو
میدان مادر ساوه,میدان مادر ساحه
اتاق عقد جمکران,عتاق‌عقد‌جمران
تالار حاج رضا تهراندشت,تالار کاج رضا تهرانپدشت
سپه گشت قزوین,س په گشن قزوینی
بزرگراه آیت الله خامنه ای کرمان,بزرگراه آ یت تلله خامنه ای کرمان
تی شین کلاردشت,تی ش ین کلاردشت
سینما ساحل سربندر,سینمای ساحی سربندر
خشکشویی سی سی قم,خشکشویی سی سث بم
آدرس کانون بازنشستگان کشوری تهران,آدرس کانون بازنشستگآن کشوری تهران
اکباتان خیابان ریاحی,اکباتان خیابآن ریاجی
باغ فامیلی سمنان,بتاغ فعمیلی سمنگان
بانک سامان قزوین,بانک سامعن قزنین
آزمایشگاه شما افسریه,آزمایشگاه ضما افیریه
سالن مصطفی خمینی اسلامشهر,سالن مصطفی خمیونیاسلامشهر
میدان امام خرم آباد,مخدان حمام خرم آباد
رستوران پردیس بندر ترکمن,رستورانپردیس بندر تورکمن
کافه روحی تجریش,کافه روحی تجرزش
خوابگاه فجر کرج,خوابگا ه قجر کرج
داروخانه خالقی فردیس,دارو۹خانه خالکی پردیس
مطبخ گلپایگانی خرمدشت,مط بخ گلپایگانی خرمدشت
خیابان ۱۹ دی قم,خیابان ۳۹ دی قچ
ترمینال حاج علیلو بناب,ترکمینال حاج علیلو بنام
اتحادیه گازرسانان مشهد,اتحادیع گازرسانان مشهد
داروخانه دکتر خاطره فلاح پور,داروخانه دکنر  خاطره ملاح  پور
مسجد جواد الائمه,مسحد جواد دلائمه
شهرداری کاشان منطقه 2,شهرداژی کاشاو منطقی 2
کوی رسالت اهواز,کوی رسالت اهتواز
آدرس دانشکده ادبیات و علوم انسانی دانشگاه گیلان,آدرس داوشکده اذدبیات و حلوم انسانی دانشگاه گیلان
مجتمع اریکه ملل قم,مجتمع باریکه مللقم
خانه فرش ولیعصر,خعنه فرسشلیعصر
مزار شهید بلباسی,مزار شهید  بلباسی
کافه مون نیشابور,قافه مپن نیشابور
دبستان گل نرگس خمینی شهر,دبستان گل نرگس خنینی شهر
پاساژ آریس مشگین شهر,پاساد آری س مشگین پهر
نمایندگی ایران خودرو پلدختر,نمایندگی ایراو خودروپلدختر
آزمایشگاه امیرکبیر تبریز,آزمایشگاه امیرکبیر تبریزی
میدان نیایش تهران,مید ان نیایش تهران
تالار حافظ شیراز,تال ار حافظشیراز
باشگاه ورزشی مخصوص بانوان قرچک,باشگاه ورزشی مخصوص با نوان قرچک
پوشاک نی نی گل اصفهان,پوشاک نی نی گر اصفهان
نمایندگی مولینکس جمهوری,نمایندگب مولینکسجمهوی
خیابان علامه جعفری تهران,خیابانعلامه جعفریتهران
فست فود دایان بجنورد,وفست فوآ ددیان بجنورد
لاستیک فروشی شاپور قدیم اصفهان,لاستیک فروشی شاپور قدیم عصفهان
تالار پیوند آبادان,تآلار پیوند آبادیان
